Accommodation,Agent company name,Country,Course,Course Fee After Scholarships,Course Scholarships Applied,CourseFee,Dependant Children,Dependant Partner,Nationality,Recorded Video Interview,Student Deposit Amount,Uni Deposit Amount,University,age,dataset_year,email_proxy,first_name_proxy,last_name_proxy
Arranged - private student accommodation,IDP Education,India,MSc in Supply Chain Management - Full Time,0.0,0,20250,No,No,Indian,Passed,2000.0,0.0,missing,24.4,2022,email_00291,fname_00353,lname_00276
Arranged - private student accommodation,SI-UK,India,MSc in International Business,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,21.3,2022,email_00158,fname_00151,lname_00001
Arranged - private rental,,Iran; Islamic Republic of,MSc Sustainable Engineering - Full Time,0.0,0,19150,No,Yes,Iranian,Passed,2000.0,0.0,missing,34.6,2022,email_00089,fname_00144,lname_00067
Not arranged - considering private rental,HS Consultants Private Limited,Pakistan,MSc Sustainable Engineering - Full Time,0.0,0,19150,Yes (2 children),Yes,Pakistani,Passed,5600.0,0.0,missing,37.2,2022,email_00129,fname_00121,lname_00164
Arranged - private rental,CRIZAC inc. Gateway & UCOL,India,MSc in Business and Management,0.0,0,21250,No,No,Indian,Passed,15940.0,0.0,missing,24.7,2022,email_00269,fname_00280,lname_00162
Arranged - private student accommodation,AEC – Abroad Education Consultants,India,MSc in International Business,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,23.3,2022,email_00399,fname_00378,lname_00298
Arranged - private rental,AEC – Abroad Education Consultants,India,MSc in Business Analytics,0.0,0,21250,No,No,Indian,Passed,11250.0,0.0,missing,24.7,2022,email_00111,fname_00100,lname_00016
Arranged - private rental,CRIZAC inc. Gateway & UCOL,India,MSc in Supply Chain Management - Full Time,0.0,0,20250,No,No,Indian,Passed,20250.0,0.0,missing,24.2,2022,email_00011,fname_00005,lname_00182
Arranged - private rental,IDP Education,India,Master of Business Administration,0.0,0,28000,No,No,Indian,Passed,2000.0,0.0,missing,25.6,2022,email_00288,fname_00263,lname_00031
Not arranged - considering private student accommodation,,India,MSc in Business and Management,0.0,0,21250,No,No,Indian,Passed,2000.0,0.0,missing,25.7,2022,email_00153,fname_00148,lname_00303
Not arranged - considering private student accommodation,,Ghana,MSc Artificial Intelligence with Business Strategy- Full Time,0.0,0,20250,No,Yes,Ghanaian,Passed,2000.0,0.0,missing,25.0,2022,email_00374,fname_00036,lname_00313
